title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Örümcek-Adam: Eve Dönüş Yok,17/12/2021 (TR),80,Jon Watts,Erik Sommers,"Aksiyon,Macera,Bilim-Kurgu",2h 28m,İngilizce,"$200,000,000.00","$1,921,847,111.00"
Prey,05/08/2022 (TR),77,Dan Trachtenberg,,"Gerilim,Aksiyon,Bilim-Kurgu",1h 40m,İngilizce,"$65,000,000.00",-
,22/11/1995 (US),80,John Lasseter,,"Animasyon,Macera,Aile,Komedi",1h 21m,İngilizce,"$30,000,000.00","$394,436,586.00"
Tetikçi,08/03/2024 (TR),66,Pierre Morel,Jacob Lentz,"Aksiyon,Komedi",1h 48m,İngilizce,"$40,000,000.00","$9,112,817.00"
,20/06/1974 (TR),79,Roman Polanski,,"Suç,Dram,Gizem,Gerilim",2h 10m,İngilizce,"$6,000,000.00","$30,000,000.00"
Tam Gaz,30/06/2017 (TR),74,Edgar Wright,Edgar Wright,"Aksiyon,Suç",1h 53m,İngilizce,"$34,000,000.00","$226,945,087.00"
Süper Mario Kardeşler,14/04/2023 (TR),77,Aaron Horvath,Matthew Fogel,"Animasyon,Aile,Macera,Fantastik,Komedi",1h 33m,İngilizce,"$100,000,000.00","$1,362,000,000.00"
Çığlık 2,27/03/1998 (TR),65,Wes Craven,,"Korku,Gizem",2h,İngilizce,"$24,000,000.00","$172,400,000.00"
,15/02/1980 (TR),74,Richard Donner,,"Korku,Gerilim",1h 51m,İngilizce,"$2,800,000.00","$60,922,980.00"
Hayali,08/03/2024 (TR),63,Jeff Wadlow,Jeff Wadlow,"Korku,Gizem,Gerilim",1h 44m,İngilizce,"$13,000,000.00","$39,010,693.00"
Return of Special Forces 5,10/07/2021 (CN),60,Jie Hou,,Aksiyon,1h 37m,Çince,-,-
,20/01/2023 (TR),74,Damien Chazelle,Damien Chazelle,"Dram,Komedi",3h 9m,İngilizce,"$78,000,000.00","$63,363,579.00"
You'll Never Find Me,14/03/2024 (AU),62,Indianna Bell,Indianna Bell,"Korku,Gerilim",1h 36m,İngilizce,-,-
Senden Başka,01/03/2024 (TR),71,Will Gluck,,"Romantik,Komedi",1h 44m,İngilizce,"$25,000,000.00","$214,891,370.00"
Shazam! 6 Güç,05/04/2019 (US),70,David F. Sandberg,,"Aksiyon,Komedi,Fantastik",2h 12m,İngilizce,"$80,000,000.00","$367,799,011.00"
Yedi,16/02/1996 (TR),84,David Fincher,Andrew Kevin Walker,"Suç,Gizem,Gerilim",2h 7m,İngilizce,"$33,000,000.00","$327,311,859.00"
Godzilla vs. Kong,29/12/2022 (TR),76,Adam Wingard,,"Aksiyon,Bilim-Kurgu,Gerilim,Macera,Fantastik",1h 54m,İngilizce,"$200,000,000.00","$470,116,094.00"
,21/09/2018 (TR),59,Corin Hardy,,Korku,1h 36m,İngilizce,"$22,000,000.00","$366,082,797.00"
,12/02/1999 (TR),68,Stephen Norrington,David S. Goyer,"Korku,Aksiyon",2h 1m,İngilizce,"$45,000,000.00","$131,183,530.00"
Çıldırmış Ayı,31/03/2023 (TR),61,Elizabeth Banks,Jimmy Warden,"Gerilim,Komedi,Suç",1h 33m,İngilizce,"$32,500,000.00","$87,649,532.00"
,10/11/1982 (US),69,George A. Romero,,"Korku,Komedi",2h,İngilizce,"$8,000,000.00","$21,028,755.00"
My Fault,08/06/2023 (TR),80,Domingo González,Domingo González,"Dram,Romantik",1h 57m,İspanyolca; Kastilyaca,-,-
Creed II: Efsane Yükseliyor,11/01/2019 (TR),70,Steven Caple Jr.,,"Dram,Aksiyon",2h 10m,İngilizce,"$50,000,000.00","$214,200,000.00"
,09/12/1983 (US),82,Brian De Palma,,"Aksiyon,Suç,Dram",2h 50m,İngilizce,"$25,000,000.00","$66,023,329.00"
Mercy Falls,01/09/2023 (GB),60,Ryan Hendrick,Ryan Hendrick,"Gerilim,Korku",1h 44m,İngilizce,-,-
Kod 8: 2. Kısım,28/02/2024 (TR),64,Jeff Chan,Jeff Chan,"Bilim-Kurgu,Aksiyon,Suç",1h 40m,İngilizce,-,-
Napolyon,24/11/2023 (TR),65,Ridley Scott,David Scarpa,"Tarih,Savaş,Romantik",2h 38m,İngilizce,"$165,000,000.00","$220,597,098.00"
,24/11/2006 (TR),82,Martin Scorsese,,"Dram,Gerilim,Suç",2h 31m,İngilizce,"$90,000,000.00","$291,465,000.00"
Aslan Kral,19/07/2019 (TR),71,Jon Favreau,,"Macera,Dram,Aile,Animasyon",1h 58m,İngilizce,"$260,000,000.00","$1,663,000,000.00"
Yargıç,30/06/1995 (US),58,Danny Cannon,,Bilim-Kurgu,1h 31m,İngilizce,"$90,000,000.00","$113,493,481.00"
Tehlikeli Tür,22/09/1995 (TR),60,Roger Donaldson,,"Bilim-Kurgu,Korku,Aksiyon",1h 48m,İngilizce,"$35,000,000.00","$113,400,000.00"
Yenilmezler 4: Son Oyun,25/04/2019 (TR),83,Anthony Russo,,"Macera,Bilim-Kurgu,Aksiyon",3h 5m,İngilizce,"$356,000,000.00","$2,800,000,000.00"
Testere X,20/10/2023 (TR),73,Kevin Greutert,Josh Stolberg,"Korku,Gerilim",1h 58m,İngilizce,"$13,000,000.00","$111,822,402.00"
,26/05/2011 (DK),72,Lars von Trier,,"Dram,Bilim-Kurgu",2h 10m,İngilizce,"$7,400,000.00","$15,946,321.00"
Avatar: Suyun Yolu,16/12/2022 (TR),76,James Cameron,,"Bilim-Kurgu,Macera,Aksiyon",3h 12m,İngilizce,"$460,000,000.00","$2,320,250,281.00"
Creed III: Efsane Devam Ediyor,03/03/2023 (US),71,Michael B. Jordan,,"Dram,Aksiyon",1h 56m,İngilizce,"$75,000,000.00","$275,300,000.00"
Exhuma,31/05/2024 (TR),76,Jang Jae-hyun,Jang Jae-hyun,"Gizem,Korku,Gerilim",2h 14m,Korece,-,"$16,791,781.00"
Benimle Kal,08/08/1986 (US),79,Rob Reiner,,"Suç,Dram",1h 29m,İngilizce,"$8,000,000.00","$52,300,000.00"
Hunters,13/09/2021 (US),62,Justin Lee,Justin Lee,Aksiyon,1h 35m,İngilizce,-,-
Marian'ın Maceraları,09/05/2022 (GB),52,Bill Thomas,Bill Thomas,"Macera,Aksiyon",1h 22m,İngilizce,-,-
Müttefik,02/12/2016 (TR),68,Robert Zemeckis,Steven Knight,"Aksiyon,Dram,Savaş,Romantik,Gerilim",2h 4m,İngilizce,"$85,000,000.00","$119,520,023.00"
,26/03/2021 (US),80,Ilya Naishuller,,"Aksiyon,Gerilim",1h 32m,İngilizce,"$17,000,000.00","$61,779,301.00"
,13/08/2004 (TR),57,Peter Hewitt,,"Animasyon,Komedi,Aile",1h 20m,İngilizce,"$50,000,000.00","$200,800,000.00"
Çocuk ve Balıkçıl,27/10/2023 (TR),74,Hayao Miyazaki,Hayao Miyazaki,"Animasyon,Macera,Fantastik",2h 4m,Japonca,"$50,000,000.00","$165,208,613.00"
Hayalet Avcıları,08/06/1984 (US),75,Ivan Reitman,,"Komedi,Fantastik",1h 45m,İngilizce,"$30,000,000.00","$296,187,079.00"
Cadılar Bayramı,25/10/1978 (US),76,John Carpenter,,"Korku,Gerilim",1h 31m,İngilizce,"$325,000.00","$70,300,000.00"
The Roommate,18/01/2024 (MX),74,Pedro Pablo Ibarra,Miguel García Moreno,Komedi,1h 39m,İspanyolca; Kastilyaca,-,-
,13/07/2018 (TR),63,Rawson Marshall Thurber,,"Aksiyon,Gerilim,Macera",1h 42m,İngilizce,"$125,000,000.00","$292,400,000.00"
Maymunlar Cehennemi: Savaş,14/07/2017 (TR),72,Matt Reeves,Matt Reeves,"Dram,Bilim-Kurgu,Savaş",2h 20m,İngilizce,"$150,000,000.00","$490,700,000.00"
Grease,07/07/1978 (US),74,Randal Kleiser,,"Romantik,Komedi",1h 50m,İngilizce,"$6,000,000.00","$396,300,000.00"
,17/08/2023 (US),70,Richard Alan Reid,Richard Alan Reid,"Komedi,Romantik",1h 46m,İngilizce,-,-
,09/06/2023 (US),73,Steven Caple Jr.,,"Aksiyon,Macera,Bilim-Kurgu",2h 7m,İngilizce,"$195,000,000.00","$439,000,000.00"
Ters Yüz,19/06/2015 (TR),79,Pete Docter,,"Animasyon,Aile,Macera,Dram,Komedi",1h 35m,İngilizce,"$175,000,000.00","$857,611,174.00"
,02/02/2024 (TR),62,Matthew Vaughn,Jason Fuchs,"Aksiyon,Macera,Komedi",2h 15m,İngilizce,"$200,000,000.00","$97,170,413.00"
Venom: Zehirli Öfke,05/10/2018 (TR),68,Ruben Fleischer,,"Bilim-Kurgu,Aksiyon",1h 52m,İngilizce,"$116,000,000.00","$856,085,151.00"
Vikings: Battle of Heirs,28/04/2023 (US),58,Robin Keane,,Aksiyon,1h 22m,İngilizce,-,-
Dolandırıcılar,13/09/2019 (US),65,Lorene Scafaria,Lorene Scafaria,"Dram,Komedi,Suç",1h 50m,İngilizce,"$20,000,000.00","$157,600,000.00"
Maymunlar Gezegeni,19/10/2001 (TR),57,Tim Burton,,"Gerilim,Bilim-Kurgu,Aksiyon,Macera",2h 1m,İngilizce,"$100,000,000.00","$362,211,740.00"
Titanik,13/02/1998 (TR),79,James Cameron,James Cameron,"Dram,Romantik",3h 14m,İngilizce,"$200,000,000.00","$2,264,162,353.00"
The OctoGames,07/10/2022 (US),56,Aaron Mirtes,Aaron Mirtes,"Gerilim,Aksiyon,Korku",1h 28m,İngilizce,-,-
O: Bölüm 2,06/09/2019 (TR),68,Andy Muschietti,,Korku,2h 49m,İngilizce,"$79,000,000.00","$473,123,154.00"
Paragöz,05/11/1970 (US),69,Ronald Neame,,"Fantastik,Dram,Aile",1h 53m,İngilizce,-,-
Can Dostum,01/05/1998 (TR),82,Gus Van Sant,Matt Damon,Dram,2h 7m,İngilizce,"$10,000,000.00","$225,900,000.00"
Kong: Kafatası Adası,10/03/2017 (TR),65,Jordan Vogt-Roberts,,"Aksiyon,Macera,Fantastik",2h,İngilizce,"$185,000,000.00","$566,652,812.00"
Centilmen,26/11/2010 (GB),59,Anton Corbijn,,"Suç,Dram,Gerilim",1h 44m,İngilizce,"$20,000,000.00","$67,900,000.00"
Av,13/03/2020 (US),66,Craig Zobel,Nick Cuse,"Aksiyon,Gerilim,Korku",1h 30m,İngilizce,"$14,000,000.00","$10,550,350.00"
Uncut Gems,07/04/2020 (TR),71,Benny Safdie,Benny Safdie,"Dram,Gerilim,Suç",2h 16m,İngilizce,"$19,000,000.00","$50,000,000.00"
,14/03/2022 (US),53,Addison Heimann,Addison Heimann,"Korku,Dram",1h 36m,İngilizce,-,-
Thor: Aşk ve Gök Gürültüsü,08/07/2022 (TR),65,Taika Waititi,Taika Waititi,"Fantastik,Aksiyon,Komedi",2h,İngilizce,"$250,000,000.00","$760,900,000.00"
,07/06/1996 (US),71,Michael Bay,,"Aksiyon,Macera,Gerilim",2h 16m,İngilizce,"$75,000,000.00","$335,062,621.00"
Işığın Bittiği Yer,20/04/1990 (TR),73,James Cameron,James Cameron,"Macera,Aksiyon,Gerilim,Bilim-Kurgu",2h 51m,İngilizce,"$70,000,000.00","$90,000,098.00"
,01/09/2023 (TR),74,Antoine Fuqua,Richard Wenk,"Aksiyon,Gerilim,Suç",1h 49m,İngilizce,"$70,000,000.00","$190,000,000.00"
,09/07/2021 (TR),73,Cate Shortland,,"Aksiyon,Macera,Bilim-Kurgu",2h 16m,İngilizce,"$200,000,000.00","$379,751,131.00"
Swapping: Perfect Neighbor,04/11/2019 (KR),47,Kim Bu-gon,,Romantik,1h 11m,Korece,-,-
The Night They Came Home,12/01/2024 (US),55,Paul G. Volk,,"Vahşi Batı,Gerilim,Aksiyon",1h 45m,İngilizce,-,-
Demir Adam 3,03/05/2013 (TR),69,Shane Black,,"Aksiyon,Macera,Bilim-Kurgu",2h 12m,İngilizce,"$200,000,000.00","$1,215,577,205.00"
SPY x FAMILY CODE: White,22/12/2023 (JP),77,Takashi Katagiri,,"Animasyon,Komedi,Macera,Aksiyon",1h 50m,Japonca,-,"$51,737,130.00"
,13/03/2015 (US),68,Kenneth Branagh,,"Romantik,Fantastik,Aile,Dram",1h 45m,İngilizce,"$95,000,000.00","$543,514,353.00"
Black Panther: Yaşasın Wakanda,11/11/2022 (TR),71,Ryan Coogler,,"Aksiyon,Macera,Bilim-Kurgu",2h 42m,İngilizce,"$250,000,000.00","$859,102,154.00"
Rocky V,08/02/1991 (TR),58,John G. Avildsen,Sylvester Stallone,Dram,1h 44m,İngilizce,"$42,000,000.00","$120,000,000.00"
O: Bölüm 1,15/09/2017 (TR),72,Andy Muschietti,,Korku,2h 15m,İngilizce,"$35,000,000.00","$704,242,888.00"
,16/05/2014 (TR),63,Gareth Edwards,,"Aksiyon,Dram,Bilim-Kurgu",2h 3m,İngilizce,"$160,000,000.00","$529,100,000.00"
Ex Machina,21/01/2015 (GB),76,Alex Garland,Alex Garland,"Dram,Bilim-Kurgu",1h 48m,İngilizce,"$15,000,000.00","$36,869,414.00"
Sen İhtimali,16/03/2024 (US),74,Michael Showalter,,"Romantik,Komedi,Müzik",1h 56m,İngilizce,-,-
Metropolis,25/08/1927 (DE),81,Fritz Lang,,"Dram,Bilim-Kurgu",2h 33m,Almanca,"$1,300,000.00","$650,422.00"
Suburbicon,27/10/2017 (US),59,George Clooney,George Clooney,"Gerilim,Suç,Dram,Gizem",1h 45m,İngilizce,"$25,000,000.00","$12,751,667.00"
Princess Cursed in Time: Alchemist's Quest,17/11/2022 (CZ),75,Petr Kubík,,"Aile,Fantastik,Komedi",2h 13m,Çekçe,-,-
,15/11/1996 (ES),55,Alfonso Albacete,,"Komedi,Dram,Romantik,Gerilim",2h 5m,İspanyolca; Kastilyaca,-,-
,20/01/2017 (TR),64,Pablo Larraín,Noah Oppenheim,Dram,1h 40m,İngilizce,"$9,000,000.00","$13,960,394.00"
